IngredientID,DisplayName,Description,Class,bIsWater,AllowedBiomes,RarityWeight,Element,Tags,ResourceMesh,Icon,BaseState_Magnitude,BaseState_Direction_Body,BaseState_Direction_Mind,BaseState_Direction_Spirit,BaseState_Direction_Nature,BaseState_Meta_Distortion,BaseState_Meta_Stability,BaseState_Meta_Purity,BaseState_Meta_Potency,BaseState_Meta_Resonance,BaseState_Meta_Corruption
bol_01,Багульник,"# Багульник  *[Изображение: bagulnik.jpeg]*  ## Описание  То не малина, не смородина — то багульник болотный, дурман-трава проклятая. Лист у него узкий, снизу рыжим пухом покрыт, а цветёт он так, что голова кругом идёт: белые щитки, словно призрачные свеч",Plant,False,Болото,1,[['Вода']],болото;кустарник;яд;дурман;духи,,,0.5,0.2,0.6,0.8,0.7,0.7,0.3,0.4,0.7,0.8,0.6
bol_02,Белокрыльник,"# Белокрыльник  *[Изображение: belokrylnik.jpeg]*  ## Описание  Выходит из трясины, словно девица в белом саване: лист широкий, копьевидный, а початок свечой белой горит, да не к добру. То Белокрыльник — цветок болотный, мертвая лилия. Где он покажется, т",Plant,False,Болото,1,[['Вода']],болото;трава;яд;видения;смерть,,,0.4,0.1,0.3,0.9,0.8,0.8,0.25,0.35,0.75,0.85,0.7
bol_03,Берёза пушистая,"# Берёза пушистая  *[Изображение: bereza_pushistaya.jpeg]*  ## Описание  Не та берёза, что в чистом поле кудри чешет, а иная — болотная, пушистая, с корой, что мохом поросла, да с ветвями, книзу склонёнными, словно бабы в горе. Растёт на кочках, корнями в",Plant,False,Болото,1,[['Вода']],болото;дерево;берёза;духи;оберег,,,0.55,0.4,0.5,0.7,0.6,0.45,0.45,0.55,0.4,0.65,0.35
bol_04,Гонобобель (Голубика),"# Гонобобель (Голубика)  *[Изображение: gonobobel.jpeg]*  ## Описание  А вот и Гонобобель — ягода болотная, что синим пухом покрыта, словно иней на покойнике. Куст у неё низкий, корявый, лист сизый, будто смерть облизала. В народе прозвали её «дурника» ил",Plant,False,Болото,1,[['Вода']],болото;ягода;гонобобель;дурника;пьяника;синика;водопьянка,,,0.5,0.3,0.5,0.6,0.8,0.35,0.5,0.6,0.45,0.55,0.25
bol_05,Журавина (Клюква),"# Журавина (Клюква)  *[Изображение: zhuravina.jpeg]*  ## Описание  Стелится по кочкам красным ковром, ягода к ягоде — словно капли крови застывшей. То Журавина, клюква болотная. В народе сказывают, будто это журавли, улетая на юг, обронили свои головушки,",Plant,False,Болото,1,[['Вода']],болото;ягода;журавина;весновка;подснежница;клюква;медвежья ягода,,,0.55,0.25,0.45,0.65,0.85,0.25,0.6,0.7,0.5,0.5,0.15
bol_06,"Елха чёрная (Ольха чёрная, кора)","# Елха чёрная (Ольха чёрная, кора)  *[Изображение: olha_chernaya_kora.jpeg]*  ## Описание  Стоит у самой воды, чёрная, корявая, будто старуха сгорбленная. Кора у неё тёмная, в трещинах, а если надрезать — из-под неё кровь алая сочится, не сок, а сукровица",Plant,False,Болото,1,[['Вода']],болото;дерево;ольха;елха;вольха;кородёр;чернотал,,,0.6,0.2,0.4,0.75,0.7,0.5,0.65,0.45,0.55,0.7,0.45
bol_07,Резун (Осока),"# Резун (Осока)  *[Изображение: osoka.jpeg]*  ## Описание  Растёт по сырым берегам, жёсткая, острая — лист, что нож. Резанет по пальцу — кровь выступит, а рана долго заживает. Прозвали её Резун, и не зря. В народе бают: из осоки черти верёвки вьют, чтобы",Plant,False,Болото,1,[['Вода']],болото;трава;резун;острец;дерябка;куга;чаполоть;болотная трава,,,0.35,0.15,0.35,0.55,0.9,0.3,0.7,0.5,0.35,0.4,0.2
bol_08,Пухлянка (Пушица),"# Пухлянка (Пушица)  *[Изображение: pushica.jpeg]*  ## Описание  То не пух и не снег — то Пухлянка болотная головки подняла. Растёт на кочках, белыми шапками качает, словно старухи в платках седых. А по весне, когда ветер подует, летят от неё белые хлопья",Plant,False,Болото,1,[['Вода']],болото;трава;пухлянка,,,0.4,0.1,0.3,0.7,0.85,0.35,0.55,0.6,0.3,0.5,0.2
bol_09,Царевы очи (Росянка),"# Царевы очи (Росянка)  *[Изображение: rosyanka.jpeg]*  ## Описание  Глядишь на неё — аж мурашки по коже: лист круглый, красно-зелёный, весь в тонких волосках, а на каждом — капля, словно слеза. То не роса, то яд сладкий, что заманивает мошек да комаров.",Plant,False,Болото,1,[['Вода']],болото;трава;росянка;царевы очи;росичка;солнечная роса;лихоманная трава;мухоловка,,,0.3,0.05,0.2,0.95,0.9,0.85,0.2,0.7,0.8,0.9,0.3
bol_10,Девятисил (Сабельник болотный),"# Девятисил (Сабельник болотный)  *[Изображение: sabelnik.jpeg]*  ## Описание  В самой серёдке трясины, среди моховых кочек, растёт Девятисил — трава могучая, девяти смертям назло. Стебель у неё красно-бурый, лист зубчатый, будто пила, а цветёт тёмно-багр",Plant,False,Болото,1,[['Вода']],болото;трава;сабельник;девятисил;могучник;моховник;красный корень;суставник,,,0.5,0.2,0.4,0.7,0.75,0.4,0.5,0.55,0.6,0.65,0.3
